id;campagne_name;lien_campagne;banners
1;Hat;Maryland calculating;Sleek online Buckinghamshire
2;Strategist;Movies Bacon Turkey;functionalities
3;Operative Gorgeous;seize streamline;COM Credit Card Account
4;back-end Internal;Prairie Greenland Landing;Rustic Cotton Car back up
5;Arkansas Facilitator;transmitting Utah Savings Account;parsing compressing
6;Fantastic;Handcrafted;transmitting
7;Regional;Fresh Handcrafted Cotton Chicken Handcrafted Metal Sausages;Incredible Frozen Bacon connect Dobra
8;withdrawal Avon;SDD Argentina;Fantastic Republic of Korea
9;Underpass Re-contextualized Shirt;Assistant Radial hardware;Estate Springs
10;Berkshire Shoal orchid;USB;Cambridgeshire implementation
